INCIDENTNEIGHBORHOOD,Arrests,Arrests_Score
Mt. Oliver Neighborhood,2,4
Troy Hill-Herrs Island,6,4
Mt. Oliver Boro,18,4
Central Northside,23,4
Regent Square,28,4
Ridgemont,30,4
Swisshelm Park,33,4
New Homestead,35,4
Chartiers City,35,4
St. Clair,42,4
East Carnegie,44,4
Outside County,46,4
Outside State,52,4
Summer Hill,60,4
Oakwood,70,4
Golden Triangle/Civic Arena,83,4
Hays,94,4
Windgap,95,4
Fairywood,100,4
Mount Oliver,108,4
Allegheny West,109,4
Arlington Heights,122,4
Glen Hazel,136,4
Polish Hill,137,4
Friendship,143,4
Upper Lawrenceville,161,4
Morningside,168,4
Duquesne Heights,168,4
Esplen,171,4
Lincoln Place,174,4
Westwood,188,4
Stanton Heights,189,4
Spring Garden,197,4
Lower Lawrenceville,216,3
Bon Air,217,3
Squirrel Hill North,225,3
Terrace Village,227,3
Point Breeze North,232,3
West End,233,3
California-Kirkbride,239,3
Banksville,243,3
South Shore,249,3
Arlington,250,3
West Oakland,256,3
Outside City,259,3
Overbrook,262,3
Point Breeze,275,3
South Oakland,294,3
Upper Hill,309,3
Troy Hill,355,3
North Oakland,361,3
Chateau,363,3
Central Lawrenceville,379,3
Strip District,417,3
Manchester,420,3
Beltzhoover,436,3
Greenfield,443,3
Central Oakland,444,3
Crafton Heights,480,3
Highland Park,483,3
Bedford Dwellings,530,2
Perry North,532,2
Elliott,547,2
Garfield,584,2
Northview Heights,597,2
Spring Hill-City View,607,2
North Shore,658,2
Homewood West,662,2
Squirrel Hill South,670,2
South Side Slopes,678,2
Crawford-Roberts,687,2
Larimer,707,2
Central North Side,718,2
Fineview,730,2
Middle Hill,792,2
Allentown,805,2
Shadyside,815,2
Bloomfield,840,2
Perry South,894,2
Brighton Heights,926,2
East Hills,953,2
Allegheny Center,1016,1
Beechview,1032,1
Lincoln-Lemington-Belmar,1058,1
Sheraden,1066,1
Brookline,1113,1
Hazelwood,1117,1
Knoxville,1127,1
Mount Washington,1191,1
Bluff,1225,1
Marshall-Shadeland,1260,1
East Liberty,1536,1
Homewood North,1652,1
Homewood South,1747,1
East Allegheny,1777,1
Carrick,1963,1
South Side Flats,2856,1
Central Business District,3324,1
