,num_playgrounds,categorization,score_playgrounds
Squirrel Hill South,32,excellent,4
East Liberty,26,excellent,4
Beechview,21,good,3
Allegheny Center,15,good,3
South Side Slopes,14,okay,2
Sheraden,13,okay,2
Hazelwood,13,okay,2
Elliott,11,okay,2
Squirrel Hill North,10,okay,2
Beltzhoover,10,okay,2
Highland Park,10,okay,2
Mount Washington,10,okay,2
South Oakland,9,okay,2
Lincoln Place,9,okay,2
Garfield,9,okay,2
Regent Square,9,okay,2
Crawford-Roberts,8,okay,2
Brighton Heights,8,okay,2
Fineview,8,okay,2
Manchester,7,okay,2
Brookline,7,okay,2
Troy Hill,7,okay,2
Greenfield,7,okay,2
Carrick,7,okay,2
Bloomfield,7,okay,2
Perry North,6,okay,2
Banksville,6,okay,2
Lincoln-Lemington-Belmar,6,okay,2
Swisshelm Park,6,okay,2
Marshall-Shadeland,5,okay,2
Upper Hill,5,okay,2
New Homestead,5,okay,2
Morningside,5,okay,2
Shadyside,5,okay,2
South Side Flats,5,okay,2
Windgap,5,okay,2
Upper Lawrenceville,5,okay,2
Crafton Heights,5,okay,2
Terrace Village,4,poor,1
Oakwood,4,poor,1
Homewood North,4,poor,1
Duquesne Heights,4,poor,1
Fairywood,4,poor,1
Homewood West,4,poor,1
Allentown,4,poor,1
Polish Hill,4,poor,1
Central Northside,4,poor,1
Bedford Dwellings,3,poor,1
Hays,3,poor,1
Bon Air,3,poor,1
Point Breeze North,3,poor,1
Stanton Heights,3,poor,1
Central Lawrenceville,3,poor,1
Spring Garden,3,poor,1
Larimer,3,poor,1
Spring Hill-City View,3,poor,1
East Allegheny,3,poor,1
West End,3,poor,1
Middle Hill,3,poor,1
Perry South,3,poor,1
Westwood,2,poor,1
Central Oakland,2,poor,1
Esplen,2,poor,1
Lower Lawrenceville,2,poor,1
East Carnegie,2,poor,1
Bluff,2,poor,1
Strip District,1,poor,1
West Oakland,1,poor,1
